Date,Open,High,Low,Close,Adj Close,Volume
2018-02-28,162.419998,163.559998,160.740005,161.119995,157.495621,1397915
2018-03-01,160.600006,160.699997,156.339996,157.160004,153.624710,2062128
2018-03-02,155.179993,155.559998,152.160004,153.759995,150.301178,2093492
2018-03-05,151.899994,154.960007,151.320007,153.539993,150.086121,1697684
2018-03-06,156.639999,159.479996,156.039993,157.000000,153.468292,1936246
2018-03-07,156.320007,157.080002,153.759995,156.000000,152.490799,1401561
2018-03-08,156.000000,157.259995,153.279999,156.720001,153.194595,1307704
2018-03-09,156.000000,157.779999,154.600006,156.880005,153.350998,1096932
2018-03-12,158.580002,159.500000,158.000000,158.580002,155.012756,940146
2018-03-13,159.179993,159.820007,153.500000,154.520004,151.044098,2077985
2018-03-14,154.699997,157.580002,154.100006,156.699997,153.175049,1690534
2018-03-15,157.520004,161.500000,157.520004,161.000000,157.378326,1949481
2018-03-16,162.000000,163.800003,160.880005,162.119995,158.473114,2001883
2018-03-19,161.440002,161.899994,158.520004,159.539993,155.951157,1274303
2018-03-20,159.880005,161.899994,158.800003,161.300003,157.671570,949162
2018-03-21,161.520004,161.880005,159.660004,160.500000,156.889572,888633
2018-03-22,159.000000,160.820007,155.419998,157.979996,154.426254,1277267
2018-03-23,156.000000,156.479996,152.199997,153.679993,150.222977,1954317
2018-03-26,153.820007,157.539993,152.860001,154.740005,151.259140,1299574
2018-03-27,158.919998,159.520004,156.179993,156.460007,152.940460,1227554
2018-03-28,155.479996,155.660004,153.179993,155.000000,151.513290,1290547
2018-03-29,155.960007,162.220001,155.320007,161.380005,157.749771,2427652
2018-04-03,159.619995,163.380005,157.919998,162.380005,158.727280,1365832
2018-04-04,162.880005,162.880005,157.720001,161.500000,157.867065,1297364
2018-04-05,164.600006,167.119995,163.139999,167.119995,163.360641,1602811
2018-04-06,166.139999,166.380005,163.960007,165.000000,161.288345,1093634
2018-04-09,166.100006,166.500000,163.020004,164.259995,160.564987,897827
2018-04-10,167.500000,172.500000,166.539993,171.580002,167.720322,2478287
2018-04-11,171.800003,173.559998,169.919998,173.160004,169.264786,1743565
2018-04-12,173.539993,178.300003,173.339996,176.600006,172.627411,2090322
2018-04-13,178.500000,179.600006,174.380005,177.279999,173.292099,1754153
2018-04-16,178.179993,178.600006,171.619995,172.139999,168.267731,1439618
2018-04-17,172.979996,174.979996,171.779999,174.740005,170.809250,1127054
2018-04-18,175.360001,175.820007,173.720001,174.360001,170.437790,981031
2018-04-19,174.179993,174.759995,172.339996,173.279999,169.382080,1040354
2018-04-20,173.460007,173.759995,170.479996,171.100006,167.251129,1155947
2018-04-23,170.759995,171.440002,168.820007,169.440002,165.628464,1014503
2018-04-24,169.440002,170.539993,168.059998,169.639999,165.823959,966825
2018-04-25,169.199997,169.600006,164.500000,167.000000,163.243347,1329102
2018-04-26,167.000000,174.380005,167.000000,171.440002,167.583481,1839110
2018-04-27,172.539993,173.559998,171.419998,172.720001,168.834686,1137801
2018-04-30,173.100006,173.619995,170.440002,171.839996,167.974472,828466
2018-05-02,171.699997,178.119995,171.639999,177.839996,173.839508,1905094
2018-05-03,177.000000,177.960007,176.039993,176.039993,172.079987,1534996
2018-05-04,172.399994,173.119995,170.839996,172.720001,172.720001,951734
2018-05-07,171.720001,176.399994,170.919998,176.220001,176.220001,871213
2018-05-08,175.979996,176.720001,173.059998,173.720001,173.720001,1018196
2018-05-09,172.520004,173.520004,170.419998,170.800003,170.800003,1097121
2018-05-10,170.800003,172.039993,168.940002,171.600006,171.600006,666136
2018-05-11,171.279999,172.639999,170.259995,172.300003,172.300003,679104
2018-05-14,171.940002,172.179993,170.259995,171.339996,171.339996,598549
2018-05-15,170.979996,173.539993,170.500000,173.539993,173.539993,762437
2018-05-16,173.279999,174.179993,172.300003,172.339996,172.339996,701795
2018-05-17,172.600006,174.240005,172.419998,174.020004,174.020004,668639
2018-05-18,174.020004,174.740005,172.699997,173.100006,173.100006,1113532
2018-05-21,173.100006,173.100006,173.100006,173.100006,173.100006,0
2018-05-22,175.600006,176.600006,173.940002,176.600006,176.600006,1385734
2018-05-23,175.199997,175.860001,171.399994,171.759995,171.759995,1171179
2018-05-24,170.500000,170.500000,166.199997,167.399994,167.399994,1902127
2018-05-25,168.059998,170.679993,167.619995,170.139999,170.139999,1074854
2018-05-28,170.580002,171.940002,166.880005,167.160004,167.160004,812866
2018-05-29,165.960007,165.960007,160.699997,162.520004,162.520004,2066993
2018-05-30,162.000000,164.139999,160.619995,164.139999,164.139999,966247
2018-05-31,163.259995,163.839996,159.240005,160.940002,160.940002,1729943
2018-06-01,161.500000,164.860001,161.059998,162.139999,162.139999,1448668
2018-06-04,164.000000,164.500000,161.500000,162.199997,162.199997,718066
2018-06-05,162.520004,165.139999,162.259995,162.259995,162.259995,855618
2018-06-06,162.399994,164.520004,162.300003,163.000000,163.000000,817930
2018-06-07,164.000000,164.779999,162.279999,162.899994,162.899994,857422
2018-06-08,161.360001,161.500000,158.619995,159.399994,159.399994,1429136
2018-06-11,159.199997,160.740005,157.860001,159.240005,159.240005,867322
2018-06-12,160.419998,161.440002,158.320007,159.559998,159.559998,830768
2018-06-13,160.160004,161.100006,158.919998,159.779999,159.779999,859739
2018-06-14,158.699997,164.300003,158.080002,163.339996,163.339996,1563617
2018-06-15,163.800003,166.080002,161.020004,161.020004,161.020004,2240779
2018-06-18,160.320007,160.720001,154.479996,156.059998,156.059998,2210716
2018-06-19,152.679993,152.880005,150.779999,152.300003,152.300003,1847030
2018-06-20,153.399994,156.199997,152.699997,154.440002,154.440002,1750904
2018-06-21,152.279999,153.979996,148.080002,149.639999,149.639999,2464814
2018-06-22,149.399994,150.360001,147.020004,149.380005,149.380005,1250945
2018-06-25,147.919998,148.380005,145.559998,145.740005,145.740005,1326479
2018-06-26,146.320007,147.300003,142.860001,144.520004,144.520004,1442453
2018-06-27,144.199997,148.440002,142.860001,146.539993,146.539993,1463401
2018-06-28,146.139999,146.139999,141.699997,143.139999,143.139999,1706638
2018-06-29,145.000000,146.059998,142.220001,142.220001,142.220001,1301646
2018-07-02,141.000000,143.080002,138.600006,141.100006,141.100006,1623335
2018-07-03,142.500000,144.539993,141.399994,142.000000,142.000000,1046033
2018-07-04,143.000000,143.880005,141.559998,142.699997,142.699997,827513
2018-07-05,145.619995,150.000000,145.419998,148.479996,148.479996,2295415
2018-07-06,150.020004,150.339996,145.860001,147.740005,147.740005,1173541
2018-07-09,148.779999,148.800003,144.899994,146.000000,146.000000,942432
2018-07-10,146.460007,146.460007,144.500000,145.979996,145.979996,745773
2018-07-11,144.100006,144.179993,141.960007,142.820007,142.820007,1164387
2018-07-12,143.320007,144.220001,141.919998,142.899994,142.899994,820794
2018-07-13,143.639999,144.559998,142.679993,144.000000,144.000000,825206
2018-07-16,143.619995,144.960007,142.240005,142.720001,142.720001,853678
2018-07-17,142.899994,144.600006,141.539993,144.080002,144.080002,938030
2018-07-18,146.199997,147.960007,145.419998,147.320007,147.320007,1260856
2018-07-19,147.500000,149.839996,146.199997,148.000000,148.000000,1122785
2018-07-20,147.759995,147.759995,142.039993,144.660004,144.660004,1611510
2018-07-23,143.899994,146.179993,142.860001,145.899994,145.899994,855103
2018-07-24,147.300003,151.600006,147.039993,150.000000,150.000000,1750333
2018-07-25,150.199997,150.220001,145.259995,145.919998,145.919998,1666434
2018-07-26,152.000000,152.839996,149.660004,151.699997,151.699997,2197625
2018-07-27,152.279999,153.759995,150.520004,151.119995,151.119995,1116046
2018-07-30,150.800003,152.660004,150.160004,151.460007,151.460007,809150
2018-07-31,151.699997,153.360001,150.699997,152.220001,152.220001,1270584
2018-08-01,155.000000,155.179993,145.360001,146.600006,146.600006,2761582
2018-08-02,145.880005,145.880005,140.380005,143.399994,143.399994,2353602
2018-08-03,144.059998,145.619995,142.740005,145.339996,145.339996,1176873
2018-08-06,146.100006,147.080002,144.800003,145.479996,145.479996,757639
2018-08-07,146.460007,149.100006,146.220001,146.880005,146.880005,955205
2018-08-08,146.320007,148.720001,145.639999,147.820007,147.820007,908549
2018-08-09,147.520004,148.800003,146.619995,147.839996,147.839996,779279
2018-08-10,147.059998,147.339996,143.240005,144.380005,144.380005,1278027
2018-08-13,143.380005,144.960007,143.300003,143.979996,143.979996,589321
2018-08-14,144.940002,145.320007,142.339996,142.899994,142.899994,793502
2018-08-15,142.679993,143.779999,137.460007,138.440002,138.440002,1962637
2018-08-16,139.919998,140.740005,138.899994,139.440002,139.440002,995530
2018-08-17,139.440002,139.720001,136.539993,138.740005,138.740005,1226563
2018-08-20,139.500000,140.619995,138.339996,139.000000,139.000000,661764
2018-08-21,138.720001,141.160004,137.899994,140.720001,140.720001,1150636
2018-08-22,139.899994,142.300003,136.660004,138.820007,138.820007,1585333
2018-08-23,139.020004,139.100006,137.520004,137.940002,137.940002,834134
2018-08-24,138.000000,138.520004,136.860001,138.000000,138.000000,817975
2018-08-27,139.500000,142.139999,138.779999,141.460007,141.460007,1019609
2018-08-28,143.080002,145.059998,142.679993,143.380005,143.380005,1184815
2018-08-29,143.839996,144.380005,141.639999,143.160004,143.160004,705283
2018-08-30,142.399994,145.360001,140.660004,142.860001,142.860001,1186925
2018-08-31,141.580002,141.619995,139.820007,140.839996,140.839996,1154110
2018-09-03,139.119995,139.220001,136.419998,137.940002,137.940002,1242999
2018-09-04,138.539993,138.919998,134.899994,136.199997,136.199997,1158865
2018-09-05,135.699997,137.199997,135.160004,136.139999,136.139999,1234483
2018-09-06,135.520004,138.039993,135.419998,136.240005,136.240005,1033049
2018-09-07,136.059998,136.539993,134.199997,136.080002,136.080002,928359
2018-09-10,136.119995,138.940002,135.139999,137.500000,137.500000,1203348
2018-09-11,137.500000,137.759995,136.039993,137.380005,137.380005,940053
2018-09-12,137.419998,138.559998,136.559998,138.399994,138.399994,1026573
2018-09-13,138.660004,141.880005,138.179993,140.779999,140.779999,1573485
2018-09-14,141.899994,144.699997,141.139999,144.000000,144.000000,1657255
2018-09-17,143.080002,145.259995,142.240005,144.479996,144.479996,1099146
2018-09-18,146.000000,150.240005,145.399994,148.240005,148.240005,2383648
2018-09-19,148.899994,151.960007,148.279999,151.100006,151.100006,1410073
2018-09-20,150.500000,154.100006,150.500000,152.500000,152.500000,1528552
2018-09-21,154.320007,157.199997,152.800003,154.380005,154.380005,2831151
2018-09-24,152.800003,153.619995,151.059998,152.940002,152.940002,1086990
2018-09-25,152.600006,155.000000,149.059998,150.479996,150.479996,1762343
2018-09-26,150.279999,151.539993,146.279999,151.300003,151.300003,1507699
2018-09-27,150.360001,155.679993,149.639999,153.860001,153.860001,1594113
2018-09-28,153.080002,153.399994,149.860001,151.600006,151.600006,1458915
2018-10-01,152.020004,154.460007,150.559998,152.500000,152.500000,904635
2018-10-02,151.919998,154.460007,151.100006,152.940002,152.940002,984810
2018-10-04,151.860001,154.259995,150.820007,152.080002,152.080002,1162913
2018-10-05,151.000000,151.940002,149.020004,149.300003,149.300003,1177414
2018-10-08,148.000000,148.160004,146.559998,147.000000,147.000000,787924
2018-10-09,146.720001,148.199997,144.539993,146.539993,146.539993,1111746
2018-10-10,146.160004,146.220001,142.800003,143.539993,143.539993,1655655
2018-10-11,139.520004,142.800003,138.080002,140.479996,140.479996,2350505
2018-10-12,142.000000,143.440002,140.119995,140.160004,140.160004,1194692
2018-10-15,141.300003,146.720001,139.660004,144.419998,144.419998,1640865
2018-10-16,144.660004,149.320007,143.479996,147.419998,147.419998,2203530
2018-10-17,148.479996,149.240005,145.520004,147.100006,147.100006,984097
2018-10-18,147.179993,149.300003,145.399994,145.580002,145.580002,1146495
2018-10-19,145.539993,145.740005,139.160004,143.979996,143.979996,2178262
2018-10-22,146.199997,147.220001,141.679993,142.339996,142.339996,963036
2018-10-23,139.960007,140.740005,138.539993,139.699997,139.699997,1707878
2018-10-24,140.199997,141.039993,133.000000,133.699997,133.699997,2296187
2018-10-25,132.240005,137.880005,131.440002,137.000000,137.000000,1732067
2018-10-26,135.500000,136.880005,133.899994,136.880005,136.880005,1390575
2018-10-29,137.979996,146.339996,137.919998,142.419998,142.419998,2427332
2018-10-30,147.000000,149.740005,144.240005,146.740005,146.740005,2700967
2018-10-31,150.000000,152.580002,148.759995,148.759995,148.759995,2099637
2018-11-01,149.000000,153.419998,147.539993,151.539993,151.539993,1741437
2018-11-02,158.800003,159.979996,154.360001,154.360001,154.360001,2844565
2018-11-05,154.600006,155.919998,153.720001,155.440002,155.440002,1020943
2018-11-06,156.100006,157.460007,154.919998,156.139999,156.139999,1240561
2018-11-07,156.639999,158.380005,154.800003,154.960007,154.960007,1179146
2018-11-08,156.100006,156.279999,151.059998,151.300003,151.300003,1292793
2018-11-09,149.660004,150.199997,144.899994,146.059998,146.059998,2266275
2018-11-12,147.199997,148.360001,145.039993,145.839996,145.839996,909379
2018-11-13,146.000000,148.619995,145.199997,147.960007,147.960007,1177467
2018-11-14,149.580002,151.360001,148.059998,149.300003,149.300003,1546762
2018-11-15,148.300003,149.800003,146.000000,147.639999,147.639999,956012
2018-11-16,149.240005,150.119995,142.600006,143.919998,143.919998,1932846
2018-11-19,144.000000,148.539993,143.139999,146.720001,146.720001,1666098
2018-11-20,145.979996,148.160004,144.220001,145.759995,145.759995,1385456
2018-11-21,147.479996,152.360001,147.199997,152.360001,152.360001,1891769
2018-11-22,152.199997,152.360001,150.460007,151.919998,151.919998,1120391
2018-11-23,150.759995,152.339996,149.380005,150.979996,150.979996,1017688
2018-11-26,152.020004,154.339996,151.940002,154.179993,154.179993,1014394
2018-11-27,154.820007,155.000000,146.460007,148.000000,148.000000,1779095
2018-11-28,149.500000,150.100006,146.539993,149.020004,149.020004,1324107
2018-11-29,150.000000,150.839996,148.360001,150.059998,150.059998,1201525
2018-11-30,150.419998,150.600006,148.259995,148.899994,148.899994,1517522
2018-12-03,155.000000,156.860001,152.899994,153.179993,153.179993,1821707
2018-12-04,151.380005,151.800003,148.119995,148.539993,148.539993,1276456
2018-12-05,147.800003,151.660004,146.160004,147.600006,147.600006,1145805
2018-12-06,146.500000,146.860001,141.699997,143.000000,143.000000,1983219
2018-12-07,144.100006,146.160004,141.820007,143.479996,143.479996,1204409
2018-12-10,142.759995,143.539993,139.960007,140.979996,140.979996,1297671
2018-12-11,142.399994,147.679993,141.759995,146.100006,146.100006,1653452
2018-12-12,147.000000,151.559998,146.080002,150.139999,150.139999,1289200
2018-12-13,151.360001,152.220001,149.259995,149.699997,149.699997,932623
2018-12-14,147.520004,149.460007,145.399994,147.720001,147.720001,1331130
2018-12-17,147.960007,149.020004,144.679993,146.479996,146.479996,987154
2018-12-18,145.960007,148.699997,145.339996,146.279999,146.279999,1134293
2018-12-19,146.679993,148.839996,146.419998,146.880005,146.880005,986274
2018-12-20,145.000000,145.639999,143.100006,143.899994,143.899994,1328154
2018-12-21,142.479996,146.740005,141.119995,143.300003,143.300003,2650052
2018-12-27,143.380005,143.500000,136.279999,137.440002,137.440002,1608052
2018-12-28,138.399994,140.080002,138.000000,138.919998,138.919998,614699
2019-01-02,138.839996,138.839996,134.639999,136.259995,136.259995,1116700
2019-01-03,135.000000,136.639999,134.080002,134.759995,134.759995,968713
